City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Mae Hong Son,TH,75.34,few clouds,19.3003,97.9685,The Like View
228,Victoria,HK,76.96,scattered clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
230,Koutiala,ML,70.27,overcast clouds,12.3917,-5.4642,La Chaumière
234,Cabo Rojo,PR,78.22,few clouds,18.0866,-67.1457,No hotel found
238,Aboso,GH,73.63,scattered clouds,5.3617,-1.9473,No hotel found
239,Alice Springs,AU,83.75,broken clouds,-23.7,133.8833,Aurora Alice Springs
246,Puerto Ayora,EC,75.54,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
249,The Valley,AI,76.1,clear sky,18.217,-63.0578,CeBlue
250,Airai,TL,70.09,broken clouds,-8.9266,125.4092,No hotel found
257,Monrovia,LR,74.97,clear sky,6.3005,-10.7969,Bella Casa Hotel
258,Oeiras,BR,73.63,broken clouds,-7.0253,-42.1311,Hotel SESC
260,Saint-Pierre,RE,80.19,overcast clouds,-21.3393,55.4781,Tropic Hotel
262,Itupiranga,BR,71.92,overcast clouds,-5.1347,-49.3267,No hotel found
264,Perbaungan,ID,82.51,overcast clouds,3.5679,98.956,No hotel found
266,Paita,PE,74.48,overcast clouds,-5.0892,-81.1144,Victor's
267,Buta,CD,72.18,overcast clouds,2.7858,24.73,Hôtel Rubi
270,Saint-Philippe,RE,79.11,light rain,-21.3585,55.7679,Le Baril
273,Salalah,OM,71.69,broken clouds,17.0151,54.0924,Muscat International Hotel
277,Hervey Bay,AU,80.96,light rain,-25.2986,152.8535,Hervey Bay Hotel
278,Cockburn Town,TC,77.07,light rain,21.4612,-71.1419,The Salt Raker Inn
283,Da Lat,VN,71.51,overcast clouds,11.9465,108.4419,Golf 1
284,Mogadishu,SO,76.87,scattered clouds,2.0371,45.3438,SYL Hotel
289,Banjar,ID,84.51,overcast clouds,-8.19,114.9675,Villa Banjar Beach
290,Kualakapuas,ID,89.04,overcast clouds,-3.0091,114.3876,Hotel Bayu
293,Lima,PE,74.89,clear sky,-12.0432,-77.0282,Hotel Peach Garden
294,Sechura,PE,74.97,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
295,Ormond Beach,US,71.1,few clouds,29.2858,-81.0559,Royal Floridian Resort
296,Tevaitoa,PF,82.22,overcast clouds,-16.7833,-151.5,Chambre d'hote
300,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,No hotel found
302,Waingapu,ID,86.81,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
303,Manadhoo,MV,80.47,overcast clouds,5.7667,73.3833,No hotel found
305,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,losmen Surya
306,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
314,Bambous Virieux,MU,82.65,broken clouds,-20.3428,57.7575,No hotel found
315,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,No hotel found
317,Opunake,NZ,70.63,overcast clouds,-39.4556,173.8583,Headlands Hotel and Restaurant Opunake
318,Cairns,AU,87.75,scattered clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
319,Linhares,BR,70.68,scattered clouds,-19.3911,-40.0722,Days Inn Linhares
324,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Fidji Motel
327,Ewa Beach,US,80.55,few clouds,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
333,Juigalpa,NI,72.27,few clouds,12.1063,-85.3645,El Regreso
338,Acajutla,SV,77.63,clear sky,13.5928,-89.8275,Hotel Lara
