City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Bethel,US,41.3712,-73.414,29.01,59,100,5.75,overcast clouds
107,Bengkulu,ID,-3.8004,102.2655,83.32,69,100,9.93,overcast clouds
108,Georgetown,MY,5.4112,100.3354,85.95,70,20,4.61,few clouds
109,Fairbanks,US,64.8378,-147.7164,15.76,78,100,6.91,light snow
110,Mezen,RU,65.8522,44.24,25.07,92,100,12.12,light snow
111,Koster,ZA,-25.863,26.8976,61.59,85,87,4.9,light rain
112,Nador,MA,35.174,-2.9287,44.85,81,0,3.44,clear sky
113,Qaanaaq,GL,77.484,-69.3632,-8.43,51,78,7.31,broken clouds
114,Dubbo,AU,-32.25,148.6167,91.53,13,0,9.22,clear sky
115,Mizdah,LY,31.4451,12.9801,39.65,75,2,6.71,clear sky
116,Kloulklubed,PW,7.0419,134.2556,84.7,81,70,21.68,broken clouds
117,Nikolskoye,RU,59.7035,30.7861,31.91,85,99,7.27,overcast clouds
118,Micheweni,TZ,-4.9667,39.8333,79.88,75,6,5.86,clear sky
119,Puerto Escondido,MX,15.85,-97.0667,75.29,71,2,4.85,clear sky
120,Mar Del Plata,AR,-38.0023,-57.5575,70.09,84,100,5.75,moderate rain
121,Sabang,ID,5.8933,95.3214,79.83,72,99,4.07,overcast clouds
122,Rio Grande,BR,-32.035,-52.0986,73.65,84,0,2.48,clear sky
123,Chokurdakh,RU,70.6333,147.9167,-2.69,97,100,7.83,overcast clouds
124,Klaksvik,FO,62.2266,-6.589,38.32,86,96,28.19,light rain
125,Santa Fe,AR,-31.6333,-60.7,76.95,68,0,7.02,light rain
126,Lebu,CL,-37.6167,-73.65,56.48,86,0,20.71,clear sky
127,Shakhtinsk,KZ,49.71,72.5872,6.4,94,55,2.77,broken clouds
128,Gua Musang,MY,4.8823,101.9644,87.46,58,60,3.56,broken clouds
129,Alofi,NU,-19.0595,-169.9187,80.49,83,98,6.91,moderate rain
130,Egvekinot,RU,66.3167,-179.1667,16.48,96,99,5.44,light snow
131,Waipawa,NZ,-41.4122,175.5153,67.39,80,100,11.32,light rain
132,Carnarvon,AU,-24.8667,113.6333,81.45,67,44,14.25,scattered clouds
133,Jijiga,ET,9.35,42.8,65.03,38,3,7.23,clear sky
134,Hami,CN,42.8,93.45,30.54,28,96,1.34,overcast clouds
135,Tabuk,PH,17.4189,121.4443,80.71,64,26,6.49,scattered clouds
136,Sioux Lookout,CA,50.1001,-91.917,-12.93,84,0,3.44,clear sky
137,Mackay,AU,-21.15,149.2,90.68,83,100,13.13,light rain
138,Mount Pleasant,US,32.7941,-79.8626,63.09,98,100,6.91,mist
139,Pedasi,PA,7.5333,-80.0333,74.07,78,90,22.44,overcast clouds
140,Taltal,CL,-25.4,-70.4833,67.77,85,67,1.19,broken clouds
141,Roros,NO,62.5747,11.3842,-5.96,77,100,0.0,overcast clouds
142,Vieux-Habitants,GP,16.0589,-61.7659,72.72,79,9,5.32,clear sky
143,Gat,IL,31.61,34.7642,53.4,100,63,17.67,broken clouds
144,Zhangjiakou,CN,40.81,114.8794,21.6,24,16,13.0,few clouds
145,Broken Hill,AU,-31.95,141.4333,80.51,28,0,9.93,clear sky
146,Varadero,CU,23.1536,-81.2514,72.36,82,5,15.52,clear sky
147,Taoudenni,ML,22.6783,-3.9836,54.39,23,98,12.33,overcast clouds
148,Flinders,AU,-34.5833,150.8552,76.24,68,4,10.51,clear sky
149,Half Moon Bay,US,37.4636,-122.4286,50.31,50,0,10.36,clear sky
150,Kruisfontein,ZA,-34.0033,24.7314,70.45,74,0,9.57,clear sky
151,Nelson Bay,AU,-32.7167,152.15,81.09,75,34,11.01,scattered clouds
152,Olafsvik,IS,64.8945,-23.7142,29.79,88,100,13.82,light snow
153,Mataura,NZ,-46.1927,168.8643,68.72,78,100,2.89,moderate rain
154,Walvis Bay,NA,-22.9575,14.5053,64.09,82,100,0.0,overcast clouds
155,Quchan,IR,37.106,58.5095,38.16,98,100,8.39,light rain
156,Port Blair,IN,11.6667,92.75,84.24,74,20,4.61,few clouds
157,Prince Rupert,CA,54.3161,-130.3201,40.69,91,100,27.63,light rain
158,Pangnirtung,CA,66.1451,-65.7125,-22.86,75,100,3.74,overcast clouds
159,Berlevag,NO,70.8578,29.0864,33.75,75,100,26.46,light snow
160,Leningradskiy,RU,69.3833,178.4167,5.36,96,100,9.91,overcast clouds
161,Galich,RU,58.3797,42.3475,25.92,95,100,8.77,overcast clouds
162,Kununurra,AU,-15.7667,128.7333,89.58,58,100,4.61,overcast clouds
163,Lata,PT,40.1629,-8.3327,36.0,77,1,3.94,clear sky
164,Sal Rei,CV,16.1833,-22.9167,69.12,74,100,18.97,overcast clouds
165,La Ronge,CA,55.1001,-105.2842,-27.15,68,0,1.14,clear sky
166,Nome,US,64.5011,-165.4064,21.27,100,100,0.0,light snow
167,Saint-Augustin,CA,51.226,-58.6502,-11.38,88,1,6.08,clear sky
168,Oksfjord,NO,70.2396,22.3479,28.99,91,100,5.08,overcast clouds
169,Kodiak,US,57.79,-152.4072,36.91,93,100,11.5,overcast clouds
170,Awjilah,LY,29.1081,21.2869,49.33,77,4,11.45,clear sky
171,Skibbereen,IE,51.55,-9.2667,48.11,78,100,17.02,overcast clouds
172,Mayo,US,38.8876,-76.5119,37.51,89,100,5.75,overcast clouds
173,Sawtell,AU,-30.3833,153.1,85.19,69,20,8.05,few clouds
174,Zwedru,LR,6.0667,-8.1281,70.81,98,20,1.3,few clouds
175,Ostrovnoy,RU,68.0531,39.5131,21.27,95,96,5.77,overcast clouds
176,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-0.45,82,67,10.36,broken clouds
177,Touros,BR,-5.1989,-35.4608,79.0,74,100,13.18,overcast clouds
178,Copiapo,CL,-27.3667,-70.3333,60.49,73,5,1.68,clear sky
179,Souillac,MU,-20.5167,57.5167,82.78,78,75,8.05,broken clouds
180,Saskylakh,RU,71.9167,114.0833,-17.82,97,100,17.31,light snow
181,Nyurba,RU,63.2842,118.3319,-20.02,95,97,7.65,overcast clouds
182,Cabedelo,BR,-6.9811,-34.8339,79.47,79,98,9.93,overcast clouds
183,Savinka,RU,50.0785,47.0994,22.71,90,81,8.61,broken clouds
184,Miri,MY,4.4148,114.0089,86.14,70,40,8.05,scattered clouds
185,Banda Aceh,ID,5.5577,95.3222,82.53,65,82,2.59,broken clouds
186,Elizabeth City,US,36.2946,-76.2511,50.02,97,100,11.5,overcast clouds
187,Camacha,PT,33.0833,-16.3333,56.62,58,20,14.97,light rain
188,Campo Verde,BR,-20.4167,-54.0667,70.09,94,100,2.95,overcast clouds
189,Dingle,PH,10.9995,122.6711,83.44,75,47,15.17,scattered clouds
190,Gizo,SB,-8.103,156.8419,83.53,73,97,9.93,moderate rain
191,Ugoofaaru,MV,5.6667,73.0,80.37,75,100,12.53,overcast clouds
192,Thinadhoo,MV,0.5333,72.9333,81.12,74,100,11.07,overcast clouds
193,Almonte,ES,37.2647,-6.5167,42.28,56,0,5.17,clear sky
194,Wausau,US,44.9591,-89.6301,6.42,66,20,4.61,few clouds
195,Kahului,US,20.8947,-156.47,76.84,85,20,6.91,few clouds
196,Bowen,AU,-20.0167,148.2333,83.26,82,100,15.39,overcast clouds
197,Pachperwa,IN,27.5167,82.65,68.61,51,0,10.51,clear sky
198,Hualmay,PE,-11.0964,-77.6139,71.76,79,100,6.22,overcast clouds
199,Rawson,AR,-43.3002,-65.1023,59.41,62,0,17.31,clear sky
200,Nampula,MZ,-15.1165,39.2666,75.15,94,75,3.44,broken clouds
201,Norman Wells,CA,65.282,-126.8329,-29.16,75,20,4.61,few clouds
202,Tura,IN,25.5198,90.2201,79.86,29,22,3.91,few clouds
203,Port Lincoln,AU,-34.7333,135.8667,66.43,54,88,14.43,overcast clouds
204,Kargasok,RU,59.0556,80.8572,4.84,93,23,6.44,few clouds
205,Kavaratti,IN,10.5669,72.642,79.84,74,83,11.65,broken clouds
206,Smithers,CA,54.7804,-127.1743,23.32,93,100,3.44,light snow
207,Atambua,ID,-9.1061,124.8925,82.83,69,48,6.24,scattered clouds
208,Piranshahr,IR,36.701,45.1413,29.8,96,68,6.49,light snow
209,Matagami,CA,49.7502,-77.6328,-0.29,85,100,5.75,overcast clouds
210,Faanui,PF,-16.4833,-151.75,81.99,73,100,14.25,overcast clouds
211,Anadyr,RU,64.75,177.4833,27.1,93,40,13.42,mist
212,Chuy,UY,-33.6971,-53.4616,69.75,93,6,5.08,clear sky
213,Fare,PF,-16.7,-151.0167,81.41,74,60,15.64,broken clouds
214,Noumea,NC,-22.2763,166.4572,87.78,66,87,4.38,overcast clouds
215,Aripuana,BR,-9.1667,-60.6333,70.3,98,99,1.72,overcast clouds
216,Kulhudhuffushi,MV,6.6221,73.07,80.24,75,94,14.58,overcast clouds
217,Yarmouth,US,41.7057,-70.2286,30.96,59,100,21.0,overcast clouds
218,Ha Giang,VN,22.8333,104.9833,76.03,36,4,3.83,clear sky
219,Finschhafen,PG,-6.6024,147.8681,86.99,72,83,12.75,broken clouds
220,Hofn,IS,64.2539,-15.2082,28.08,65,96,12.3,overcast clouds
221,Mana,GF,5.6592,-53.7767,73.58,90,45,2.24,scattered clouds
222,Guerrero Negro,MX,27.9769,-114.0611,56.07,61,10,9.46,clear sky
223,Les Cayes,HT,18.2,-73.75,75.65,73,46,2.28,scattered clouds
224,Techiman,GH,7.5862,-1.9414,70.03,54,82,2.46,broken clouds
225,Gewane,ET,10.1664,40.6453,69.66,60,1,5.46,clear sky
226,Hokitika,NZ,-42.7167,170.9667,68.13,86,100,2.71,overcast clouds
227,Mae Hong Son,TH,19.3003,97.9685,75.34,64,20,2.3,few clouds
228,Victoria,HK,22.2855,114.1577,76.96,77,45,5.99,scattered clouds
229,Suntar,RU,62.1444,117.6319,-17.66,92,75,7.29,broken clouds
230,Koutiala,ML,12.3917,-5.4642,70.27,9,100,8.37,overcast clouds
231,Tasiilaq,GL,65.6145,-37.6368,10.56,72,96,7.99,overcast clouds
232,Kaitangata,NZ,-46.2817,169.8464,64.29,87,99,5.5,overcast clouds
233,Dubai,AE,25.2582,55.3047,67.93,73,0,5.75,clear sky
234,Cabo Rojo,PR,18.0866,-67.1457,78.22,64,13,1.99,few clouds
235,Belaya Gora,RU,68.5333,146.4167,-12.93,99,98,4.32,overcast clouds
236,Zhigansk,RU,66.7697,123.3711,-19.3,97,100,8.05,light snow
237,Husavik,IS,66.0449,-17.3389,28.49,95,100,10.83,light snow
238,Aboso,GH,5.3617,-1.9473,73.63,90,46,0.98,scattered clouds
239,Alice Springs,AU,-23.7,133.8833,83.75,51,75,9.22,broken clouds
240,Bani Walid,LY,31.7566,13.9942,45.99,71,7,10.74,clear sky
241,Gonen,TR,40.1049,27.654,40.01,43,96,6.87,overcast clouds
242,Verkhnevilyuysk,RU,63.4453,120.3167,-20.09,97,100,8.7,light snow
243,La Sarre,CA,48.8002,-79.1996,5.47,87,62,8.37,broken clouds
244,Albino,IT,45.7638,9.7964,42.71,74,0,5.75,clear sky
245,Sorland,NO,67.667,12.6934,35.46,64,67,9.06,broken clouds
246,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,73,4.88,light rain
247,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,49,0,0.0,clear sky
248,Sitka,US,57.0531,-135.33,39.09,87,100,4.61,light rain
249,The Valley,AI,18.217,-63.0578,76.1,68,0,17.34,clear sky
250,Airai,TL,-8.9266,125.4092,70.09,82,82,2.89,broken clouds
251,Hammerfest,NO,70.6634,23.6821,30.65,100,75,17.27,snow
252,Brae,GB,60.3964,-1.353,41.54,95,98,39.08,moderate rain
253,Barcelos,PT,41.5388,-8.6151,45.68,71,39,4.76,scattered clouds
254,Mandalgovi,MN,45.7625,106.2708,13.48,37,0,11.23,clear sky
255,Hasaki,JP,35.7333,140.8333,55.29,46,51,28.79,broken clouds
256,Troitskoye,RU,52.9821,84.6757,18.5,84,100,2.57,overcast clouds
257,Monrovia,LR,6.3005,-10.7969,74.97,91,9,5.01,clear sky
258,Oeiras,BR,-7.0253,-42.1311,73.63,68,53,2.91,broken clouds
259,San Patricio,US,28.017,-97.5169,39.83,85,100,12.28,overcast clouds
260,Saint-Pierre,RE,-21.3393,55.4781,80.19,78,100,11.5,overcast clouds
261,Cabo San Lucas,MX,22.8909,-109.9124,65.61,65,66,3.67,broken clouds
262,Itupiranga,BR,-5.1347,-49.3267,71.92,97,86,0.67,overcast clouds
263,Gbadolite,CD,4.2833,21.0167,69.48,70,36,0.31,scattered clouds
264,Perbaungan,ID,3.5679,98.956,82.51,85,98,1.43,overcast clouds
265,Charters Towers,AU,-20.1,146.2667,90.59,50,100,13.82,overcast clouds
266,Paita,PE,-5.0892,-81.1144,74.48,79,96,5.14,overcast clouds
267,Buta,CD,2.7858,24.73,72.18,60,98,1.41,overcast clouds
268,Thompson,CA,55.7435,-97.8558,-32.64,75,20,0.0,few clouds
269,Volksrust,ZA,-27.3654,29.8818,59.02,94,100,3.33,light rain
270,Saint-Philippe,RE,-21.3585,55.7679,79.11,85,93,11.07,light rain
271,Westport,US,41.1415,-73.3579,32.32,56,100,10.36,overcast clouds
272,Inuvik,CA,68.3499,-133.7218,-19.34,76,20,2.3,few clouds
273,Salalah,OM,17.0151,54.0924,71.69,64,75,3.44,broken clouds
274,Qaqortoq,GL,60.7167,-46.0333,9.5,91,100,5.77,overcast clouds
275,Aksehir,TR,38.3575,31.4164,27.63,89,100,4.21,light snow
276,Kushiro,JP,42.975,144.3747,27.55,59,75,3.44,broken clouds
277,Hervey Bay,AU,-25.2986,152.8535,80.96,82,88,17.18,light rain
278,Cockburn Town,TC,21.4612,-71.1419,77.07,71,91,19.35,light rain
279,Ucluelet,CA,48.9329,-125.5528,40.08,92,100,1.01,overcast clouds
280,Ayr,GB,55.4627,-4.6339,46.38,81,40,28.77,scattered clouds
281,Hohhot,CN,40.8106,111.6522,19.69,32,0,4.47,clear sky
282,Port Hardy,CA,50.6996,-127.4199,37.58,87,100,20.71,light rain
283,Da Lat,VN,11.9465,108.4419,71.51,69,100,4.43,overcast clouds
284,Mogadishu,SO,2.0371,45.3438,76.87,78,40,6.91,scattered clouds
285,Buraydah,SA,26.326,43.975,54.05,54,28,7.52,scattered clouds
286,Laguna,US,38.421,-121.4238,45.97,63,0,4.61,clear sky
287,Esperance,AU,-33.8667,121.9,66.0,57,86,15.35,overcast clouds
288,Vilhena,BR,-12.7406,-60.1458,66.69,99,100,2.1,overcast clouds
289,Banjar,ID,-8.19,114.9675,84.51,79,89,4.07,overcast clouds
290,Kualakapuas,ID,-3.0091,114.3876,89.04,56,100,5.08,overcast clouds
291,Nyimba,ZM,-14.5566,30.8149,69.19,95,93,2.84,overcast clouds
292,Roseburg,US,43.2165,-123.3417,38.52,74,0,0.0,clear sky
293,Lima,PE,-12.0432,-77.0282,74.89,78,0,11.5,clear sky
294,Sechura,PE,-5.5569,-80.8222,74.97,72,95,4.25,overcast clouds
295,Ormond Beach,US,29.2858,-81.0559,71.1,93,20,5.75,few clouds
296,Tevaitoa,PF,-16.7833,-151.5,82.22,71,100,14.94,overcast clouds
297,Ilulissat,GL,69.2167,-51.1,-0.38,71,75,3.44,broken clouds
298,Uray,RU,60.1247,64.7758,17.96,94,96,8.7,overcast clouds
299,Ouango,CF,4.3133,22.5552,66.56,72,5,1.14,clear sky
300,Katherine,AU,-14.4667,132.2667,80.92,83,75,18.41,broken clouds
301,Pevek,RU,69.7008,170.3133,6.33,84,36,3.87,scattered clouds
302,Waingapu,ID,-9.6567,120.2641,86.81,70,94,11.34,overcast clouds
303,Manadhoo,MV,5.7667,73.3833,80.47,76,100,13.13,overcast clouds
304,Emerald,AU,-23.5333,148.1667,90.75,50,67,7.34,broken clouds
305,Padang,ID,-0.9492,100.3543,86.05,69,100,5.12,overcast clouds
306,Makakilo City,US,21.3469,-158.0858,79.12,78,20,5.75,few clouds
307,Khuzdar,PK,27.7384,66.6434,54.84,30,0,1.81,clear sky
308,Srednekolymsk,RU,67.45,153.6833,-19.89,94,97,2.15,overcast clouds
309,Ordzhonikidze,KZ,52.4411,61.7408,0.43,96,63,4.92,broken clouds
310,Forbes,AU,-33.3833,148.0167,93.92,13,15,11.43,few clouds
311,Louis Trichardt,ZA,-23.0439,29.9032,67.17,89,71,6.55,broken clouds
312,Aksarka,RU,66.5606,67.7975,14.85,95,100,12.1,overcast clouds
313,Arhus,DK,56.1567,10.2108,39.42,92,100,19.08,light rain
314,Bambous Virieux,MU,-20.3428,57.7575,82.65,78,75,8.05,broken clouds
315,Galesong,ID,-5.3166,119.3661,87.82,73,94,12.19,overcast clouds
316,Timmins,CA,48.4669,-81.3331,6.62,61,75,9.22,broken clouds
317,Opunake,NZ,-39.4556,173.8583,70.63,83,100,10.69,overcast clouds
318,Cairns,AU,-16.9167,145.7667,87.75,79,40,9.22,scattered clouds
319,Linhares,BR,-19.3911,-40.0722,70.68,97,35,1.97,scattered clouds
320,Manyana,BW,-23.4,21.7167,67.62,86,99,9.95,light rain
321,Vestmanna,FO,62.1564,-7.1664,36.52,87,40,20.71,light rain
322,Thunder Bay,CA,48.4001,-89.3168,-0.42,65,40,8.05,scattered clouds
323,Talnakh,RU,69.4865,88.3972,4.21,95,100,10.38,overcast clouds
324,Olinda,BR,-8.0089,-34.8553,80.33,74,75,5.75,broken clouds
325,Concepcion Del Oro,MX,24.6333,-101.4167,55.98,63,99,3.65,overcast clouds
326,Neryungri,RU,56.6709,124.6491,-6.95,86,100,10.8,overcast clouds
327,Ewa Beach,US,21.3156,-158.0072,80.55,78,20,5.75,few clouds
328,Northam,GB,51.0333,-4.2167,46.62,84,12,19.44,few clouds
329,Harbin,CN,45.75,126.65,12.15,83,100,9.53,overcast clouds
330,Kumluca,TR,36.3703,30.2869,49.86,60,100,6.55,overcast clouds
331,Deputatskiy,RU,69.3,139.9,-18.71,95,100,5.26,overcast clouds
332,Sergeyevka,KZ,53.88,67.4158,3.9,93,55,7.45,broken clouds
333,Juigalpa,NI,12.1063,-85.3645,72.27,88,14,12.5,few clouds
334,Vorontsovka,RU,50.6132,40.3549,25.74,98,97,1.59,overcast clouds
335,Mount Gambier,AU,-37.8333,140.7667,64.54,40,88,9.84,overcast clouds
336,Paamiut,GL,61.994,-49.6678,14.31,73,100,10.51,overcast clouds
337,Derzhavinsk,KZ,51.1,66.3167,1.38,88,34,8.32,scattered clouds
338,Acajutla,SV,13.5928,-89.8275,77.63,70,5,6.91,clear sky
339,San Luis,AR,-33.295,-66.3356,72.84,67,55,8.23,broken clouds
340,Kapit,MY,2.0167,112.9333,88.38,62,95,3.49,overcast clouds
341,Bayir,TR,37.2687,28.2167,34.32,87,71,7.16,broken clouds
342,Cervo,ES,43.6702,-7.4101,46.76,85,62,6.24,broken clouds
343,Ibra,OM,22.6906,58.5334,64.78,46,4,2.73,clear sky
344,Batagay-Alyta,RU,67.8006,130.4114,-9.62,99,100,2.71,overcast clouds
345,Ust-Koksa,RU,50.2696,85.6108,19.08,66,100,1.07,overcast clouds
346,Sitia,GR,35.2,26.0986,47.98,57,96,30.71,light rain
347,Yaan,NG,7.3833,8.5667,77.99,59,52,3.98,broken clouds
